id,title,link,published,source,is_related
1,"The Boys: A disturbing depiction of violence, hate and crime within a suburban Australian family - SBS",https://news.google.com/rss/articles/CBMikAFodHRwczovL3d3dy5zYnMuY29tLmF1L3doYXRzLW9uL2FydGljbGUvdGhlLWJveXMtYS1kaXN0dXJiaW5nLWRlcGljdGlvbi1vZi12aW9sZW5jZS1oYXRlLWFuZC1jcmltZS13aXRoaW4tYS1zdWJ1cmJhbi1hdXN0cmFsaWFuLWZhbWlseS9pZ3kweGZ4aTfSAQA?oc=5,2009-01-01 08:00:00,SBS,False
4,Man in Anabel's death case faces court again charged with 'urinating on street' - Irish Independent,https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5pbmRlcGVuZGVudC5pZS9pcmlzaC1uZXdzL21hbi1pbi1hbmFiZWxzLWRlYXRoLWNhc2UtZmFjZXMtY291cnQtYWdhaW4tY2hhcmdlZC13aXRoLXVyaW5hdGluZy1vbi1zdHJlZXQvMjY1MDYxODkuaHRtbNIBAA?oc=5,2009-01-15 08:00:00,Irish Independent,False
6,Tickets for Burning Man 2009 Now On Sale - burningman.org,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vam91cm5hbC5idXJuaW5nbWFuLm9yZy8yMDA5LzAxL2JsYWNrLXJvY2stY2l0eS90aWNrZXRpbmcvdGlja2V0cy1mb3ItYnVybmluZy1tYW4tMjAwOS1ub3ctb24tc2FsZS_SAQA?oc=5,2009-01-19 08:00:00,burningman.org,False
12,Sara Neligan and the 'what ifs' that must still haunt her family - Irish Independent,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL2xpZmUvc2FyYS1uZWxpZ2FuLWFuZC10aGUtd2hhdC1pZnMtdGhhdC1tdXN0LXN0aWxsLWhhdW50LWhlci1mYW1pbHkvMjY1MDgxNDcuaHRtbNIBAA?oc=5,2009-01-23 08:00:00,Irish Independent,False
18,How the Bottom Fell Out of the Speyers' New Vision for Stuyvesant Town - New York Magazine,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vbnltYWcuY29tL3JlYWxlc3RhdGUvZmVhdHVyZXMvNTM3OTcv0gEA?oc=5,2009-01-30 08:00:00,New York Magazine,False
19,Writer Nuala O'Faolain dies - RTE.ie,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LnJ0ZS5pZS9lbnRlcnRhaW5tZW50LzIwMDgvMDUxMC80MTMzOTAtb2Zhb2xhaW5uL9IBAA?oc=5,2009-01-30 08:00:00,RTE.ie,False
25,Clarke Announces Ireland Under-20 Team - Irish Rugby,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8wMi8wNC9jbGFya2UtYW5ub3VuY2VzLWlyZWxhbmQtdW5kZXItMjAtdGVhbS_SAVBodHRwczovL3d3dy5pcmlzaHJ1Z2J5LmllLzIwMDkvMDIvMDQvY2xhcmtlLWFubm91bmNlcy1pcmVsYW5kLXVuZGVyLTIwLXRlYW0vYW1wLw?oc=5,2009-02-04 08:00:00,Irish Rugby,False
27,Lindsey Miller and Matthew Shapiro - The New York Times,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDIvMDgvZmFzaGlvbi93ZWRkaW5ncy8wOE1JTExFUi5odG1s0gEA?oc=5,2009-02-06 08:00:00,The New York Times,False
28,Women Secure First Ever Victory Over France - Irish Rugby,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvcmVwb3J0L3dvbWVuLXNlY3VyZS1maXJzdC1ldmVyLXZpY3Rvcnktb3Zlci1mcmFuY2Uv0gFRaHR0cHM6Ly93d3cuaXJpc2hydWdieS5pZS9yZXBvcnQvd29tZW4tc2VjdXJlLWZpcnN0LWV2ZXItdmljdG9yeS1vdmVyLWZyYW5jZS9hbXAv?oc=5,2009-02-06 08:00:00,Irish Rugby,False
44,Former FAI Cup winner turns 70 | Independent.ie - Irish Independent,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL3JlZ2lvbmFscy9sb3V0aC9kdW5kYWxrLW5ld3MvZm9ybWVyLWZhaS1jdXAtd2lubmVyLXR1cm5zLTcwLzI2OTMxNTUxLmh0bWzSAQA?oc=5,2009-03-11 07:00:00,Irish Independent,False
48,Explosion destroys house in Dublin - RTE.ie,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vd3d3LnJ0ZS5pZS9uZXdzLzIwMDkvMDMxMy8xMTUxMTctYmxhY2tyb2NrL9IBAA?oc=5,2009-03-13 07:00:00,RTE.ie,False
50,BBC NEWS | Entertainment | Magoo creator Kaufman dies at 92 - CBBC Newsround,https://news.google.com/rss/articles/CBMiNGh0dHA6Ly9uZXdzLmJiYy5jby51ay8yL2hpL2VudGVydGFpbm1lbnQvNzk0NzY5Mi5zdG3SAQA?oc=5,2009-03-17 07:00:00,CBBC Newsround,False
69,Pursuing the Feathered Treasure of Belize - The New York Times,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDQvMTIvdHJhdmVsLzEyZXhwbG9yZXIuaHRtbNIBAA?oc=5,2009-04-10 07:00:00,The New York Times,False
72,U-18 Schools Side Opens With Win Over Wales - Irish Rugby,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8wNC8xMi91LTE4LXNjaG9vbHMtc2lkZS1vcGVucy13aXRoLXdpbi1vdmVyLXdhbGVzL9IBVWh0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8wNC8xMi91LTE4LXNjaG9vbHMtc2lkZS1vcGVucy13aXRoLXdpbi1vdmVyLXdhbGVzL2FtcC8?oc=5,2009-04-12 07:00:00,Irish Rugby,False
75,Ireland Under-18 Schools Team Named - Irish Rugby,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8wNC8xNS9pcmVsYW5kLXVuZGVyLTE4LXNjaG9vbHMtdGVhbS1uYW1lZC_SAU1odHRwczovL3d3dy5pcmlzaHJ1Z2J5LmllLzIwMDkvMDQvMTUvaXJlbGFuZC11bmRlci0xOC1zY2hvb2xzLXRlYW0tbmFtZWQvYW1wLw?oc=5,2009-04-15 07:00:00,Irish Rugby,False
80,Economy takes a swing at golf clubs - Wicked Local,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LndpY2tlZGxvY2FsLmNvbS9zdG9yeS9qb3VybmFsLXN1bi8yMDA5LzA0LzIxL2Vjb25vbXktdGFrZXMtc3dpbmctYXQtZ29sZi8zODczNjExNzAwNy_SAQA?oc=5,2009-04-21 07:00:00,Wicked Local,False
87,BBC SPORT | Rugby Union | Irish | Ballynahinch 19-0 Ballymena - CBBC Newsround,https://news.google.com/rss/articles/CBMiPWh0dHA6Ly9uZXdzLmJiYy5jby51ay9zcG9ydDIvaGkvcnVnYnlfdW5pb24vaXJpc2gvODAzMDIyNS5zdG3SAQA?oc=5,2009-05-01 07:00:00,CBBC Newsround,False
102,Ex testifies about the man she thought was a Rockefeller - CNN,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNubi5jb20vMjAwOS9DUklNRS8wNi8wMS9yb2NrZWZlbGxlci50cmlhbC9pbmRleC5odG1s0gEA?oc=5,2009-06-01 07:00:00,CNN,False
112,BBC NEWS | UK | Northern Ireland | The men sued by the Omagh families - CBBC Newsround,https://news.google.com/rss/articles/CBMiP2h0dHA6Ly9uZXdzLmJiYy5jby51ay8yL2hpL3VrX25ld3Mvbm9ydGhlcm5faXJlbGFuZC84MDgwMTk3LnN0bdIBAA?oc=5,2009-06-08 07:00:00,CBBC Newsround,False
120,Police re-examine case of man cleared of Omagh bombing - The Guardian,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91ay8yMDA5L2p1bi8xMS9vbWFnaC1ib21iaW5nLXBvbGljZS1yZXZpZXfSAUZodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vdWsvMjAwOS9qdW4vMTEvb21hZ2gtYm9tYmluZy1wb2xpY2UtcmV2aWV3?oc=5,2009-06-11 07:00:00,The Guardian,False
139,Bidding a fond farewell | Independent.ie - Irish Independent,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL3JlZ2lvbmFscy9sb3V0aC9kdW5kYWxrLW5ld3MvYmlkZGluZy1hLWZvbmQtZmFyZXdlbGwvMjY5MzUxMjYuaHRtbNIBAA?oc=5,2009-07-01 07:00:00,Irish Independent,False
140,Causeway | Independent.ie - Irish Independent,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL3JlZ2lvbmFscy9rZXJyeS9jYXVzZXdheS8yNzM4NDUxMi5odG1s0gEA?oc=5,2009-07-01 07:00:00,Irish Independent,False
154,Disney garages Pure 2? - GameSpot,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LmdhbWVzcG90LmNvbS9hcnRpY2xlcy9kaXNuZXktZ2FyYWdlcy1wdXJlLTIvMTEwMC02MjE0MTMwL9IBAA?oc=5,2009-07-24 07:00:00,GameSpot,False
156,'Black Rock' Divides the Northern Cheyenne - Daily Yonder,https://news.google.com/rss/articles/CBMiR2h0dHA6Ly9kYWlseXlvbmRlci5jb20vYmxhY2stcm9jay1kaXZpZGVzLW5vcnRoZXJuLWNoZXllbm5lLzIwMDkvMDcvMjkv0gEA?oc=5,2009-07-29 07:00:00,Daily Yonder,False
158,Kilshannig saved in injury time | Independent.ie - Irish Independent,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL25ld3Mva2lsc2hhbm5pZy1zYXZlZC1pbi1pbmp1cnktdGltZS8yNzA3MTU4Mi5odG1s0gEA?oc=5,2009-07-30 07:00:00,Irish Independent,False
167,Birthday girl dressed to impress at party - Irish Independent,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL3JlZ2lvbmFscy9sb3V0aC9kdW5kYWxrLW5ld3MvYmlydGhkYXktZ2lybC1kcmVzc2VkLXRvLWltcHJlc3MtYXQtcGFydHkvMjY5MzY0MzkuaHRtbNIBAA?oc=5,2009-08-12 07:00:00,Irish Independent,False
188,Cummins sets unique swimming record - RTE.ie,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LnJ0ZS5pZS9zcG9ydC9zd2ltbWluZy8yMDA5LzA5MjEvMjU1MDkzLWN1bW1pbnNsL9IBAA?oc=5,2009-09-21 07:00:00,RTE.ie,False
192,Hardcore Rappers Onyx Hatin' on Blakroc (The Black Keys and Damon Dash's New Project) - Grimy Goods,https://news.google.com/rss/articles/CBMiiAFodHRwOi8vd3d3LmdyaW15Z29vZHMuY29tLzIwMDkvMDkvMjUvaGFyY29yZS1yYXBwZXJzLW9ueXgtaGF0aW4lRTIlODAlOTktb24tYmxha3JvYy10aGUtYmxhY2sta2V5cy1hbmQtZGFtb24tZGFzaCVFMiU4MCU5OXMtbmV3LXByb2plY3Qv0gEA?oc=5,2009-09-25 07:00:00,Grimy Goods,False
203,Commercial Real Estate Watch: Stuyvesant Town Set To Implode - Business Insider,https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vY29tbWVyY2lhbC1yZWFsLWVzdGF0ZS13YXRjaC1zdHV5dmVzYW50LXRvd24tc2V0LXRvLWltcGxvZGUtMjAwOS0xMNIBZ2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vY29tbWVyY2lhbC1yZWFsLWVzdGF0ZS13YXRjaC1zdHV5dmVzYW50LXRvd24tc2V0LXRvLWltcGxvZGUtMjAwOS0xMD9hbXA?oc=5,2009-10-14 07:00:00,Business Insider,False
207,Ireland Under-20 Training Squad Named - Irish Rugby,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8xMC8yMC9pcmVsYW5kLXVuZGVyLTIwLXRyYWluaW5nLXNxdWFkLW5hbWVkL9IBT2h0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8xMC8yMC9pcmVsYW5kLXVuZGVyLTIwLXRyYWluaW5nLXNxdWFkLW5hbWVkL2FtcC8?oc=5,2009-10-20 07:00:00,Irish Rugby,False
209,Stuyvesant Town and Peter Cooper Village Are Dealt a Blow - The New York Times,https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMTAvMjMvbnlyZWdpb24vMjNzdHV5dG93bi5odG1s0gEA?oc=5,2009-10-22 07:00:00,The New York Times,False
218,Great night of birthday fun had by all at party in Riva - Irish Independent,https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmllL3JlZ2lvbmFscy9sb3V0aC9kdW5kYWxrLW5ld3MvZ3JlYXQtbmlnaHQtb2YtYmlydGhkYXktZnVuLWhhZC1ieS1hbGwtYXQtcGFydHktaW4tcml2YS8yNjkzODQyMC5odG1s0gEA?oc=5,2009-11-04 08:00:00,Irish Independent,False
235,HSE colleagues say farewell to one of a kind true gentleman - Irish Independent,https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5pbmRlcGVuZGVudC5pZS9yZWdpb25hbHMvbG91dGgvZHVuZGFsay1uZXdzL2hzZS1jb2xsZWFndWVzLXNheS1mYXJld2VsbC10by1vbmUtb2YtYS1raW5kLXRydWUtZ2VudGxlbWFuLzI2OTM4OTE4Lmh0bWzSAQA?oc=5,2009-11-18 08:00:00,Irish Independent,False
242,"Jenna Lee, Brian Kim - Weddings and Celebrations - The New York Times",https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMTEvMjIvZmFzaGlvbi93ZWRkaW5ncy8yMkxFRS5odG1s0gEA?oc=5,2009-11-21 08:00:00,The New York Times,False
247,Google Spreadsheet Documents Blocked in China - Mingtiandi,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lm1pbmd0aWFuZGkuY29tL2FyY2hpdmUvdGVjaG5vbG9neS9nb29nbGUtc3ByZWFkc2hlZXRzLWJsb2NrZWQtaW4tY2hpbmEv0gEA?oc=5,2009-11-24 08:00:00,Mingtiandi,False
255,St. Mary's Stretch Lead To Four Points - Irish Rugby,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmlyaXNocnVnYnkuaWUvMjAwOS8xMi8wNi9zdC1tYXJ5cy1zdHJldGNoLWxlYWQtdG8tZm91ci1wb2ludHMv0gFOaHR0cHM6Ly93d3cuaXJpc2hydWdieS5pZS8yMDA5LzEyLzA2L3N0LW1hcnlzLXN0cmV0Y2gtbGVhZC10by1mb3VyLXBvaW50cy9hbXAv?oc=5,2009-12-06 08:00:00,Irish Rugby,False
279,Hoping That Bigger Really Means Better - Barron's,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3LmJhcnJvbnMuY29tL2FydGljbGVzL1NCMTI2MzAwNjA1NjM4MzIyNzY30gE5aHR0cHM6Ly93d3cuYmFycm9ucy5jb20vYW1wL2FydGljbGVzL1NCMTI2MzAwNjA1NjM4MzIyNzY3?oc=5,2010-01-11 08:00:00,Barron's,False
298,Tishman Speyer Surrenders Stuyvesant Town and Peter Cooper - The New York Times,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTAvMDEvMjYvbnlyZWdpb24vMjZzdHV5Lmh0bWzSAQA?oc=5,2010-01-25 08:00:00,The New York Times,False
320,Stuy-Town: Worst Real Estate Deal Since 1626! - Next City,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vbmV4dGNpdHkub3JnL3VyYmFuaXN0LW5ld3Mvc3R1eS10b3duLXdvcnN0LXJlYWwtZXN0YXRlLWRlYWwtc2luY2UtMTYyNtIBAA?oc=5,2010-02-02 08:00:00,Next City,False
321,Ireland Team to play Italy - Guinness Men's Six Nations - Six Nations Rugby,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LnNpeG5hdGlvbnNydWdieS5jb20vZW4vbTZuL25ld3MvaXJlbGFuZC10ZWFtLXRvLXBsYXktaXRhbHktM9IBAA?oc=5,2010-02-02 08:00:00,Six Nations Rugby,False
