id,title,link,published,source,is_related
2,The Irish Oil Man: Dave O'Reilly - Irish America,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmlyaXNoYW1lcmljYS5jb20vMjAwOS8wMS90aGUtaXJpc2gtb2lsLW1hbi1kYXZlLW9yZWlsbHkv0gEA?oc=5,2009-01-01 08:00:00,Irish America,False
3,BBC NEWS | Africa | Nigerian pirates free nine crew - CBBC Newsround,https://news.google.com/rss/articles/CBMiLWh0dHA6Ly9uZXdzLmJiYy5jby51ay8yL2hpL2FmcmljYS83ODE1MDgzLnN0bdIBAA?oc=5,2009-01-07 08:00:00,CBBC Newsround,False
5,Big Freeze is killing our swallows - Express,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LmV4cHJlc3MuY28udWsvY29tbWVudC9ibG9ncy83OTQzOC9CaWctRnJlZXplLWlzLWtpbGxpbmctb3VyLXN3YWxsb3dz0gFUaHR0cHM6Ly93d3cuZXhwcmVzcy5jby51ay9jb21tZW50L2Jsb2dzLzc5NDM4L0JpZy1GcmVlemUtaXMta2lsbGluZy1vdXItc3dhbGxvd3MvYW1w?oc=5,2009-01-11 08:00:00,Express,False
6,Vijay Singh Set to Go Under Knife on Wednesday - Bleacher Report,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vYmxlYWNoZXJyZXBvcnQuY29tL2FydGljbGVzLzExMDA5MS12aWpheS1zaW5naC1zZXQtdG8tZ28tdW5kZXIta25pZmUtb24td2VkbmVzZGF50gFpaHR0cHM6Ly9zeW5kaWNhdGlvbi5ibGVhY2hlcnJlcG9ydC5jb20vYW1wLzExMDA5MS12aWpheS1zaW5naC1zZXQtdG8tZ28tdW5kZXIta25pZmUtb24td2VkbmVzZGF5LmFtcC5odG1s?oc=5,2009-01-12 08:00:00,Bleacher Report,False
8,Teen finds strength against cerebral palsy - Chron,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNocm9uLmNvbS9zcG9ydHMvYXJ0aWNsZS9UZWVuLWZpbmRzLXN0cmVuZ3RoLWFnYWluc3QtY2VyZWJyYWwtcGFsc3ktMTczMzAxMS5waHDSAQA?oc=5,2009-01-13 08:00:00,Chron,False
13,Merga and Erkesso shatter course records in Houston | NEWS - World Athletics,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd29ybGRhdGhsZXRpY3Mub3JnL25ld3MvbmV3cy9tZXJnYS1hbmQtZXJrZXNzby1zaGF0dGVyLWNvdXJzZS1yZWNvcmRzLWluLWjSAQA?oc=5,2009-01-18 08:00:00,World Athletics,False
14,Woman killed in car accident memorialized - OCRegister,https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3Lm9jcmVnaXN0ZXIuY29tLzIwMDkvMDIvMDIvd29tYW4ta2lsbGVkLWluLWNhci1hY2NpZGVudC1tZW1vcmlhbGl6ZWQv0gFUaHR0cHM6Ly93d3cub2NyZWdpc3Rlci5jb20vMjAwOS8wMi8wMi93b21hbi1raWxsZWQtaW4tY2FyLWFjY2lkZW50LW1lbW9yaWFsaXplZC9hbXAv?oc=5,2009-02-02 08:00:00,OCRegister,False
18,MOSS-SULLIVAN - Midland Reporter-Telegram,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Lm1ydC5jb20vbGlmZXN0eWxlcy93ZWRkaW5ncy1hbmQtY2VsZWJyYXRpb25zL2FydGljbGUvTU9TUy1TVUxMSVZBTi03NDc3NjIwLnBocNIBAA?oc=5,2009-02-07 08:00:00,Midland Reporter-Telegram,False
22,Langley gun battle captured on security video - CTV News Vancouver,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYmMuY3R2bmV3cy5jYS9sYW5nbGV5LWd1bi1iYXR0bGUtY2FwdHVyZWQtb24tc2VjdXJpdHktdmlkZW8tMS4zNjkyNjQ_Y2FjaGU9Yml6aXhlYm9heXZhaHAlM0ZjbGlwSWQlM0Q2ODU5NtIBAA?oc=5,2009-02-11 08:00:00,CTV News Vancouver,False
24,Citroen Reveals New Identity To Coincide With 90th Birthday - Drive,https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmRyaXZlLmNvbS5hdS9uZXdzL2NpdHJvZW4tdW52ZWlscy1yZWZyZXNoZWQtbG9nby10by1jZWxlYnJhdGUtOTB0aC1iaXJ0aGRheS_SAQA?oc=5,2009-02-13 08:00:00,Drive,False
