id,title,link,published,source,is_related
15,Smith's 24 leads Princeton to overtime win | Local Sports | bdtonline.com - Bluefield Daily Telegraph,https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5iZHRvbmxpbmUuY29tL3Nwb3J0cy9sb2NhbF9zcG9ydHMvc21pdGgtcy0yNC1sZWFkcy1wcmluY2V0b24tdG8tb3ZlcnRpbWUtd2luL2FydGljbGVfMmZlZTg5YjEtZTBiMC01NDFmLWE3M2EtMzkxYzQ2YTI5YmJhLmh0bWzSAQA?oc=5,2009-01-10 08:00:00,Bluefield Daily Telegraph,False
18,Lotus Europa SE | The Independent - The Independent,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL2xpZmUtc3R5bGUvbW90b3Jpbmcvcm9hZC10ZXN0cy9sb3R1cy1ldXJvcGEtc2UtMTI5OTA2Ny5odG1s0gEA?oc=5,2009-01-11 08:00:00,The Independent,False
37,Your Guide to the Top 5 Green Energy-Efficient IT Certifications - Silicon UK,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnNpbGljb24uY28udWsvZS1pbm5vdmF0aW9uL3lvdXItZ3VpZGUtdG8tdGhlLXRvcC01LWdyZWVuLWVuZXJneS1lZmZpY2llbnQtaXQtY2VydGlmaWNhdGlvbnMtNDTSAW5odHRwczovL3d3dy5zaWxpY29uLmNvLnVrL2UtaW5ub3ZhdGlvbi95b3VyLWd1aWRlLXRvLXRoZS10b3AtNS1ncmVlbi1lbmVyZ3ktZWZmaWNpZW50LWl0LWNlcnRpZmljYXRpb25zLTQ0L2FtcA?oc=5,2009-01-15 08:00:00,Silicon UK,False
46,Performance Evaluation of a High-field Orbitrap Mass Analyzer - ScienceDirect.com,https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LnNjaWVuY2VkaXJlY3QuY29tL3NjaWVuY2UvYXJ0aWNsZS9waWkvUzEwNDQwMzA1MDkwMDAxMTfSAQA?oc=5,2009-01-18 08:00:00,ScienceDirect.com,False
55,William Balfour Pleads Not Guilty in Jennifer Hudson Family Tragedy - PEOPLE,https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vcGVvcGxlLmNvbS9jcmltZS93aWxsaWFtLWJhbGZvdXItcGxlYWRzLW5vdC1ndWlsdHktaW4tamVubmlmZXItaHVkc29uLWZhbWlseS10cmFnZWR5L9IBAA?oc=5,2009-01-20 08:00:00,PEOPLE,False
67,Al Melling Interview - PistonHeads,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LnBpc3RvbmhlYWRzLmNvbS9uZXdzL3BoLWZlYXR1cmVzL2FsLW1lbGxpbmctaW50ZXJ2aWV3LzE5Mjgx0gEA?oc=5,2009-01-26 08:00:00,PistonHeads,False
70,"Architects, Engineers LEED the Way to a Sustainable Future - InsideClimate News",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vaW5zaWRlY2xpbWF0ZW5ld3Mub3JnL25ld3MvMjkwMTIwMDkvYXJjaGl0ZWN0cy1lbmdpbmVlcnMtbGVlZC13YXktc3VzdGFpbmFibGUtZnV0dXJlL9IBAA?oc=5,2009-01-29 08:00:00,InsideClimate News,False
73,"Move Over Tesla, Here Comes The Aero Book Review and Ratings by Kids - Meera Dolasia - DOGOnews",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LmRvZ29uZXdzLmNvbS8yMDA5LzEvMzAvbW92ZS1vdmVyLXRlc2xhLWhlcmUtY29tZXMtdGhlLWFlcm_SAQA?oc=5,2009-01-30 08:00:00,DOGOnews,False
76,Sonar and Cancer Detection: An Unlikely Marriage in Tech - Popular Mechanics,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3LnBvcHVsYXJtZWNoYW5pY3MuY29tL3NjaWVuY2UvaGVhbHRoL2E0MDExLzQzMDE5NjMv0gEA?oc=5,2009-01-31 08:00:00,Popular Mechanics,False
92,Biodiesel Conversion from Grease - Biodiesel Homebrew - Popular Mechanics,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnBvcHVsYXJtZWNoYW5pY3MuY29tL2NhcnMvaHlicmlkLWVsZWN0cmljL2E0MDMxLzQzMDI2NTUv0gEA?oc=5,2009-02-04 08:00:00,Popular Mechanics,False
95,"First the luxury electric sports car, now the battery-powered motorbike - The Guardian",https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9lbnZpcm9ubWVudC8yMDA5L2ZlYi8wNS9lbGVjdHJpYy1tb3RvcmJpa2UtbWlzc2lvbi1vbmXSAVJodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vZW52aXJvbm1lbnQvMjAwOS9mZWIvMDUvZWxlY3RyaWMtbW90b3JiaWtlLW1pc3Npb24tb25l?oc=5,2009-02-05 08:00:00,The Guardian,False
102,Batteries or Biofuels: Which One Is Better? - Greentech Media News,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmdyZWVudGVjaG1lZGlhLmNvbS9hcnRpY2xlcy9yZWFkL2JhdHRlcmllcy1vci1iaW9mdWVscy13aGljaC1vbmUtaXMtYmV0dGVyLTU2NzXSAVlodHRwczovL3d3dy5ncmVlbnRlY2htZWRpYS5jb20vYW1wL2FydGljbGUvYmF0dGVyaWVzLW9yLWJpb2Z1ZWxzLXdoaWNoLW9uZS1pcy1iZXR0ZXItNTY3NQ?oc=5,2009-02-06 08:00:00,Greentech Media News,False
112,Satellite collision debris threatening other spacecraft - CTV News,https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5jdHZuZXdzLmNhL3NhdGVsbGl0ZS1jb2xsaXNpb24tZGVicmlzLXRocmVhdGVuaW5nLW90aGVyLXNwYWNlY3JhZnQtMS4zNjkyNDY_Y2FjaGU9JTJGNS10aGluZ3MtdG8ta25vdy1hYm91dC10ZXNsYS1zLW5ldy1jaGVhcGVyLW1vZGVsLTMtMS4yODk0ODE50gEA?oc=5,2009-02-12 08:00:00,CTV News,False
