title,link,published,source
Bikes With Non-EPA Tagged Exhausts Out of Big Apple - Motorcycle.com,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3Lm1vdG9yY3ljbGUuY29tLzIwMDkvMDEvMDEvbW90b3JjeWNsZS1uZXdzL2Jpa2VzLXdpdGgtbm9uLWVwYS10YWdnZWQtZXhoYXVzdHMtb3V0LW9mLWJpZy1hcHBsZS_SAQA?oc=5,2009-01-01 08:00:00,Motorcycle.com
Variety pioneer - Good Fruit Grower,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3Lmdvb2RmcnVpdC5jb20vdmFyaWV0eS1waW9uZWVyL9IBAA?oc=5,2009-01-01 08:00:00,Good Fruit Grower
Group movies into folders on Apple TV - Macworld,https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3Lm1hY3dvcmxkLmNvbS9hcnRpY2xlLzE5NDIwMi9hcHBsZXR2Zm9sZGVycy5odG1s0gEA?oc=5,2009-01-02 08:00:00,Macworld
Will the new Mac mini support dual monitors? We're not sure - Ars Technica,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhZGdldHMvMjAwOS8wMS93aWxsLXRoZS1uZXctbWFjLW1pbmktc3VwcG9ydC1kdWFsLW1vbml0b3JzLXdlcmUtbm90LXN1cmUv0gEA?oc=5,2009-01-02 08:00:00,Ars Technica
Copycat Fragrances - Trend Hunter,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnRyZW5kaHVudGVyLmNvbS90cmVuZHMvY29weS1jYXQtZnJhZ3JhbmNlcy10d2lsaWdodC1wZXJmdW1lLWluLW5pbmEtbG9vay1hLWxpa2UtYm90dGxl0gFmaHR0cHM6Ly93d3cudHJlbmRodW50ZXIuY29tL2FtcC90cmVuZHMvY29weS1jYXQtZnJhZ3JhbmNlcy10d2lsaWdodC1wZXJmdW1lLWluLW5pbmEtbG9vay1hLWxpa2UtYm90dGxl?oc=5,2009-01-03 08:00:00,Trend Hunter
Marissa Mayer on the future of Google - TechRadar,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vbmV3cy9pbnRlcm5ldC9tYXJpc3NhLW1heWVyLW9uLXRoZS1mdXR1cmUtb2YtZ29vZ2xlLTQ5NjAxNtIBAA?oc=5,2009-01-03 08:00:00,TechRadar
MOTOYUVA EM325 music phone revealed by Motorola in India - Mobiletor.com,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3Lm1vYmlsZXRvci5jb20vbW90b3l1dmEtZW0zMjUtbXVzaWMtcGhvbmUtcmV2ZWFsZWQtYnktbW90b3JvbGEtaW4taW5kaWEv0gEA?oc=5,2009-01-03 08:00:00,Mobiletor.com
"Steve Jobs has hormone imbalance, will remain Apple CEO - The Mercury News",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDA5LzAxLzA0L3N0ZXZlLWpvYnMtaGFzLWhvcm1vbmUtaW1iYWxhbmNlLXdpbGwtcmVtYWluLWFwcGxlLWNlby0yL9IBZGh0dHBzOi8vd3d3Lm1lcmN1cnluZXdzLmNvbS8yMDA5LzAxLzA0L3N0ZXZlLWpvYnMtaGFzLWhvcm1vbmUtaW1iYWxhbmNlLXdpbGwtcmVtYWluLWFwcGxlLWNlby0yL2FtcC8?oc=5,2009-01-04 08:00:00,The Mercury News
2008 took us on an emotional roller coaster - Rockford Register Star,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LnJyc3Rhci5jb20vc3Rvcnkvb3Bpbmlvbi8yMDA5LzAxLzA0LzIwMDgtdG9vay11cy1vbi1lbW90aW9uYWwvNDQ2MjA5NjgwMDcv0gEA?oc=5,2009-01-04 08:00:00,Rockford Register Star
Mac OS X Snow Leopard 10.6 - the story so far - TechRadar,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LnRlY2hyYWRhci5jb20vbmV3cy9zb2Z0d2FyZS9vcGVyYXRpbmctc3lzdGVtcy9jb21wdXRpbmcvYXBwbGUvbWFjLW9zLXgtc25vdy1sZW9wYXJkLTEwLTYtdGhlLXN0b3J5LXNvLWZhci00OTgwMzPSAQA?oc=5,2009-01-05 08:00:00,TechRadar
Steve Jobs Cites Treatable Hormone Imbalance For Weight Loss - WIRED,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vd3d3LndpcmVkLmNvbS8yMDA5LzAxL3N0ZXZlLWpvYnMtY2l0ZS_SAQA?oc=5,2009-01-05 08:00:00,WIRED
Steve Jobs Explains His Weight Loss in Healthnote - TechCrunch,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAwOS8wMS8wNS9zdGV2ZS1qb2JzLWV4cGxhaW5zLWhpcy13ZWlnaHQtbG9zcy1pbi1oZWFsdGhub3RlL9IBWGh0dHBzOi8vdGVjaGNydW5jaC5jb20vMjAwOS8wMS8wNS9zdGV2ZS1qb2JzLWV4cGxhaW5zLWhpcy13ZWlnaHQtbG9zcy1pbi1oZWFsdGhub3RlL2FtcC8?oc=5,2009-01-05 08:00:00,TechCrunch
Open Letter from Steve Jobs - Softpedia News,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vbmV3cy5zb2Z0cGVkaWEuY29tL25ld3MvT3Blbi1MZXR0ZXItZnJvbS1TdGV2ZS1Kb2JzLTEwMTE3Ny5zaHRtbNIBAA?oc=5,2009-01-05 08:00:00,Softpedia News
Apple CEO opens up about illness concerns - Gainesville Sun,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmdhaW5lc3ZpbGxlLmNvbS9zdG9yeS9idXNpbmVzcy8yMDA5LzAxLzA2L2FwcGxlLWNlby1vcGVucy11cC1hYm91dC1pbGxuZXNzLWNvbmNlcm5zLzMxNTkyNDgzMDA3L9IBAA?oc=5,2009-01-06 08:00:00,Gainesville Sun
Apple's last Macworld beginning of new era - CNET,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmNuZXQuY29tL3RlY2gvdGVjaC1pbmR1c3RyeS9hcHBsZXMtbGFzdC1tYWN3b3JsZC1iZWdpbm5pbmctb2YtbmV3LWVyYS_SAQA?oc=5,2009-01-06 08:00:00,CNET
