id,title,link,published,source
2,Bikes With Non-EPA Tagged Exhausts Out of Big Apple - Motorcycle.com,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3Lm1vdG9yY3ljbGUuY29tLzIwMDkvMDEvMDEvbW90b3JjeWNsZS1uZXdzL2Jpa2VzLXdpdGgtbm9uLWVwYS10YWdnZWQtZXhoYXVzdHMtb3V0LW9mLWJpZy1hcHBsZS_SAQA?oc=5,2009-01-01 08:00:00,Motorcycle.com
3,Variety pioneer - Good Fruit Grower,https://news.google.com/rss/articles/CBMiKmh0dHBzOi8vd3d3Lmdvb2RmcnVpdC5jb20vdmFyaWV0eS1waW9uZWVyL9IBAA?oc=5,2009-01-01 08:00:00,Good Fruit Grower
7,Copycat Fragrances - Trend Hunter,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LnRyZW5kaHVudGVyLmNvbS90cmVuZHMvY29weS1jYXQtZnJhZ3JhbmNlcy10d2lsaWdodC1wZXJmdW1lLWluLW5pbmEtbG9vay1hLWxpa2UtYm90dGxl0gFmaHR0cHM6Ly93d3cudHJlbmRodW50ZXIuY29tL2FtcC90cmVuZHMvY29weS1jYXQtZnJhZ3JhbmNlcy10d2lsaWdodC1wZXJmdW1lLWluLW5pbmEtbG9vay1hLWxpa2UtYm90dGxl?oc=5,2009-01-03 08:00:00,Trend Hunter
71,Celebrations 01-11-09 - VVdailypress.com,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LnZ2ZGFpbHlwcmVzcy5jb20vc3RvcnkvbmV3cy9sb2NhbC8yMDA5LzAxLzEyL2NlbGVicmF0aW9ucy0wMS0xMS0wOS8zNzA3NjE1MDAwNy_SAQA?oc=5,2009-01-11 08:00:00,VVdailypress.com
75,Pear and frangipane tart | The Independent - The Independent,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL2xpZmUtc3R5bGUvZm9vZC1hbmQtZHJpbmsvcmVjaXBlcy9wZWFyLWFuZC1mcmFuZ2lwYW5lLXRhcnQtMTIzMTU1Mi5odG1s0gEA?oc=5,2009-01-11 08:00:00,The Independent
82,'Woolworths logo looks more like a pumpkin than an apple' - Mumbrella,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vbXVtYnJlbGxhLmNvbS5hdS93b29sd29ydGhzLWxvZ28tbG9va3MtbW9yZS1saWtlLWEtcHVtcGtpbi10aGFuLWFuLWFwcGxlLTEwMTDSAQA?oc=5,2009-01-12 08:00:00,Mumbrella
84,Bharti Airtel introduces Lifetime Prepaid at Rs 99 - Business Standard,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hcnRpY2xlL3RlY2hub2xvZ3kvYmhhcnRpLWFpcnRlbC1pbnRyb2R1Y2VzLWxpZmV0aW1lLXByZXBhaWQtYXQtcnMtOTktMTA5MDExMjAwMDQyXzEuaHRtbNIBf2h0dHBzOi8vd3d3LmJ1c2luZXNzLXN0YW5kYXJkLmNvbS9hbXAvYXJ0aWNsZS90ZWNobm9sb2d5L2JoYXJ0aS1haXJ0ZWwtaW50cm9kdWNlcy1saWZldGltZS1wcmVwYWlkLWF0LXJzLTk5LTEwOTAxMTIwMDA0Ml8xLmh0bWw?oc=5,2009-01-12 08:00:00,Business Standard
133,"We love factual - Holiday Horrors Unpackaged: Tonight, ITV1, 8pm - The Mirror",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3Lm1pcnJvci5jby51ay90di90di1wcmV2aWV3cy93ZS1sb3ZlLWZhY3R1YWwtLS1ob2xpZGF5LWhvcnJvcnMtMzcxNDA00gFUaHR0cHM6Ly93d3cubWlycm9yLmNvLnVrL3R2L3R2LXByZXZpZXdzL3dlLWxvdmUtZmFjdHVhbC0tLWhvbGlkYXktaG9ycm9ycy0zNzE0MDQuYW1w?oc=5,2009-01-16 08:00:00,The Mirror
137,James Madison | The Independent - The Independent,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL25ld3MvcHJlc2lkZW50cy9qYW1lcy1tYWRpc29uLTEzOTExMTEuaHRtbNIBAA?oc=5,2009-01-17 08:00:00,The Independent
129,"One Day You're Indispensable, the Next Day... - The New York Times",https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDEvMTgvd2Vla2lucmV2aWV3LzE4bG9oci5odG1s0gEA?oc=5,2009-01-17 08:00:00,The New York Times
153,iWork '09 - The Guardian,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMDkvamFuLzIyL2FwcGxlLW1hYy1pd29yazA5LXJldmlld9IBS2h0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMDkvamFuLzIyL2FwcGxlLW1hYy1pd29yazA5LXJldmlldw?oc=5,2009-01-21 08:00:00,The Guardian
166,The Cook Doctrine at Apple - Fortune,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vZm9ydHVuZS5jb20vMjAwOS8wMS8yMi90aGUtY29vay1kb2N0cmluZS1hdC1hcHBsZS_SAT5odHRwczovL2ZvcnR1bmUuY29tLzIwMDkvMDEvMjIvdGhlLWNvb2stZG9jdHJpbmUtYXQtYXBwbGUvYW1wLw?oc=5,2009-01-22 08:00:00,Fortune
222,Students rewarded for voracious reading - Las Vegas Sun,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vbGFzdmVnYXNzdW4uY29tL25ld3MvMjAwOS9qYW4vMjgvc3R1ZGVudHMtcmV3YXJkZWQtdm9yYWNpb3VzLXJlYWRpbmcv0gEA?oc=5,2009-01-28 08:00:00,Las Vegas Sun
252,"A Nice, Thick, Uncut 12-inch Shroom - VICE",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LnZpY2UuY29tL2VuL2FydGljbGUvM2JwcWJ3LzEyLWluY2gtc2hyb29tLTYwMy12MTZuMtIBAA?oc=5,2009-02-01 08:00:00,VICE
248,To farm or not to farm? - Good Fruit Grower,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lmdvb2RmcnVpdC5jb20vdG8tZmFybS1vci1ub3QtdG8tZmFybS_SAQA?oc=5,2009-02-01 08:00:00,Good Fruit Grower
261,Paltrow dreams of smoking again - Express,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmV4cHJlc3MuY28udWsvY2VsZWJyaXR5LW5ld3MvODMxODkvUGFsdHJvdy1kcmVhbXMtb2Ytc21va2luZy1hZ2FpbtIBUmh0dHBzOi8vd3d3LmV4cHJlc3MuY28udWsvY2VsZWJyaXR5LW5ld3MvODMxODkvUGFsdHJvdy1kcmVhbXMtb2Ytc21va2luZy1hZ2Fpbi9hbXA?oc=5,2009-02-03 08:00:00,Express
267,Seven compete for Miss Placentia crown Saturday - OCRegister,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm9jcmVnaXN0ZXIuY29tLzIwMDkvMDIvMDQvc2V2ZW4tY29tcGV0ZS1mb3ItbWlzcy1wbGFjZW50aWEtY3Jvd24tc2F0dXJkYXkv0gFaaHR0cHM6Ly93d3cub2NyZWdpc3Rlci5jb20vMjAwOS8wMi8wNC9zZXZlbi1jb21wZXRlLWZvci1taXNzLXBsYWNlbnRpYS1jcm93bi1zYXR1cmRheS9hbXAv?oc=5,2009-02-04 08:00:00,OCRegister
271,Researchers Observe Evolution Chain Reaction | NSF - National Science Foundation,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3Lm5zZi5nb3YvbmV3cy9uZXdzX3N1bW0uanNwP2NudG5faWQ9MTE0MTI50gEA?oc=5,2009-02-05 08:00:00,National Science Foundation
284,Bet Your Bottom Dollar on 99 Cents - The New York Times,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDIvMDgvd2Vla2lucmV2aWV3LzA4YXJhbmdvLmh0bWzSAQA?oc=5,2009-02-07 08:00:00,The New York Times
309,Sunbeam Tiger: Full-Electric 160 mph Car - autoevolution,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmF1dG9ldm9sdXRpb24uY29tL25ld3Mvc3VuYmVhbS10aWdlci1mdWxsLWVsZWN0cmljLTE2MC1tcGgtY2FyLTQwMTEuaHRtbNIBAA?oc=5,2009-02-10 08:00:00,autoevolution
311,Soft Serve Hard Ball | WBAL Radio 1090 AM - scottwykoff.wbal.com,https://news.google.com/rss/articles/CBMiQWh0dHA6Ly9zY290dHd5a29mZi53YmFsLmNvbS8yMDA5LzAyL3NvZnQtc2VydmUtaGFyZC1iYWxsLmh0bWw_bT0w0gEA?oc=5,2009-02-11 08:00:00,scottwykoff.wbal.com
335,When one extraordinary life story is not enough - The Guardian,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9ib29rcy8yMDA5L2ZlYi8xNS9oZXJtYW4tcm9zZW5ibGF0LW9wcmFoLXdpbmZyZXktaG9heNIBUWh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS9ib29rcy8yMDA5L2ZlYi8xNS9oZXJtYW4tcm9zZW5ibGF0LW9wcmFoLXdpbmZyZXktaG9heA?oc=5,2009-02-14 08:00:00,The Guardian
341,Breeding program bears fruit - Good Fruit Grower,https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3Lmdvb2RmcnVpdC5jb20vYnJlZWRpbmctcHJvZ3JhbS1iZWFycy1mcnVpdC_SAQA?oc=5,2009-02-15 08:00:00,Good Fruit Grower
399,Famous Fat Dave - archive.jsonline.com,https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vYXJjaGl2ZS5qc29ubGluZS5jb20vYmxvZ3MvZW50ZXJ0YWlubWVudC80MDA4NjU5Ny5odG1s0gEA?oc=5,2009-02-23 08:00:00,archive.jsonline.com
441,Clearwing moth spreading - Good Fruit Grower,https://news.google.com/rss/articles/CBMiNWh0dHBzOi8vd3d3Lmdvb2RmcnVpdC5jb20vY2xlYXJ3aW5nLW1vdGgtc3ByZWFkaW5nLTIv0gEA?oc=5,2009-03-01 08:00:00,Good Fruit Grower
