id,title,link,published,source
2,Flight 100 - History 1949-1958 | News | Flight Global - Flightglobal,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmZsaWdodGdsb2JhbC5jb20vZmxpZ2h0LTEwMC1oaXN0b3J5LTE5NDktMTk1OC84NDQyMi5hcnRpY2xl0gEA?oc=5,2009-01-01 08:00:00,Flightglobal
5,Boeing 747 is being converted to Jumbo Hostel - Oklahoman.com,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3Lm9rbGFob21hbi5jb20vc3RvcnkvbGlmZXN0eWxlLzIwMDkvMDEvMDQvYm9laW5nLTc0Ny1pcy1iZWluZy1jb252ZXJ0ZWQtdG8tanVtYm8taG9zdGVsLzYxNDg0OTI1MDA3L9IBAA?oc=5,2009-01-04 08:00:00,Oklahoman.com
6,Wrecked plane cleared from Denver runway | AspenTimes.com - The Aspen Times,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LmFzcGVudGltZXMuY29tL25ld3Mvd3JlY2tlZC1wbGFuZS1jbGVhcmVkLWZyb20tZGVudmVyLXJ1bndheS_SAQA?oc=5,2009-01-04 08:00:00,The Aspen Times
8,Emotional Trip on Plane Bound for the Presidency (Published 2009) - The New York Times,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDEvMDUvdXMvcG9saXRpY3MvMDVtb3ZlLmh0bWzSAQA?oc=5,2009-01-04 08:00:00,The New York Times
9,Do They Call It Air Force One-Elect? - The New York Times,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vYXJjaGl2ZS5ueXRpbWVzLmNvbS90aGVjYXVjdXMuYmxvZ3Mubnl0aW1lcy5jb20vMjAwOS8wMS8wNC9kby10aGV5LWNhbGwtaXQtYWlyLWZvcmNlLW9uZS1lbGVjdC_SAQA?oc=5,2009-01-04 08:00:00,The New York Times
11,Hope for a Brighter Future on a Darker Broadway (Published 2009) - The New York Times,https://news.google.com/rss/articles/CBMiNmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDEvMDYvdGhlYXRlci8wNmJ3YXkuaHRtbNIBAA?oc=5,2009-01-05 08:00:00,The New York Times
16,Air Security Could Involve Private Jets - Gainesville Sun,https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmdhaW5lc3ZpbGxlLmNvbS9zdG9yeS9uZXdzLzIwMDkvMDEvMDYvYWlyLXNlY3VyaXR5LWNvdWxkLWludm9sdmUtcHJpdmF0ZS1qZXRzLzMxNTkyNDQwMDA3L9IBAA?oc=5,2009-01-06 08:00:00,Gainesville Sun
18,Midwest Connect overtakes Midwest Airlines - archive.jsonline.com,https://news.google.com/rss/articles/CBMiM2h0dHBzOi8vYXJjaGl2ZS5qc29ubGluZS5jb20vYnVzaW5lc3MvMzcxNDMzNTkuaHRtbNIBAA?oc=5,2009-01-06 08:00:00,archive.jsonline.com
19,Experts Cite Crosswinds In Denver Crash - CBS News,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvZXhwZXJ0cy1jaXRlLWNyb3Nzd2luZHMtaW4tZGVudmVyLWNyYXNoL9IBAA?oc=5,2009-01-06 08:00:00,CBS News
23,Safety experts cite crosswinds in Denver jet crash - The Aspen Times,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmFzcGVudGltZXMuY29tL25ld3Mvc2FmZXR5LWV4cGVydHMtY2l0ZS1jcm9zc3dpbmRzLWluLWRlbnZlci1qZXQtY3Jhc2gv0gEA?oc=5,2009-01-07 08:00:00,The Aspen Times
