id,title,link,published,source
1,"R, the Software, Finds Fans in Data Analysts - The New York Times",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDEvMDcvdGVjaG5vbG9neS9idXNpbmVzcy1jb21wdXRpbmcvMDdwcm9ncmFtLmh0bWzSAQA?oc=5,2009-01-06 08:00:00,The New York Times
2,List of 56 Drugs That Should Not Be Mixed With Viagra Contains Some Surprises - CBS News,https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvbGlzdC1vZi01Ni1kcnVncy10aGF0LXNob3VsZC1ub3QtYmUtbWl4ZWQtd2l0aC12aWFncmEtY29udGFpbnMtc29tZS1zdXJwcmlzZXMv0gEA?oc=5,2009-01-06 08:00:00,CBS News
3,Jarvik Responds to Lipitor Ad Controversy - ABC News,https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vYWJjbmV3cy5nby5jb20vR01BL09uQ2FsbC9zdG9yeT9pZD00MTM4NzAyJnBhZ2U9MdIBPWh0dHBzOi8vYWJjbmV3cy5nby5jb20vYW1wL0dNQS9PbkNhbGwvc3Rvcnk_aWQ9NDEzODcwMiZwYWdlPTE?oc=5,2009-01-07 08:00:00,ABC News
9,"Viagra, not violence, as war tactic? - The Philadelphia Inquirer",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmlucXVpcmVyLmNvbS9waGlsbHkvYnVzaW5lc3MvMjAwOTAxMTNfVmlhZ3JhX19ub3RfdmlvbGVuY2VfX2FzX3dhcl90YWN0aWNfLmh0bWzSAQA?oc=5,2009-01-13 08:00:00,The Philadelphia Inquirer
13,"Geron Calls Explode, Bulls Bet On GE - Forbes",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmZvcmJlcy5jb20vMjAwOS8wMS8yMy9nZXJvbi1wZml6ZXItd3lldGgtcGYtaWktaW5fYXdfMDEyM29wdGlvbnNfaW5sLmh0bWzSAQA?oc=5,2009-01-23 08:00:00,Forbes
28,Getting into your competitor's head - McKinsey,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3Lm1ja2luc2V5LmNvbS9jYXBhYmlsaXRpZXMvc3RyYXRlZ3ktYW5kLWNvcnBvcmF0ZS1maW5hbmNlL291ci1pbnNpZ2h0cy9nZXR0aW5nLWludG8teW91ci1jb21wZXRpdG9ycy1oZWFk0gEA?oc=5,2009-02-01 08:00:00,McKinsey
29,Brand of the Year: Crestor - Pharmaceutical Executive,https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3LnBoYXJtZXhlYy5jb20vdmlldy9icmFuZC15ZWFyLWNyZXN0b3LSAQA?oc=5,2009-02-01 08:00:00,Pharmaceutical Executive
33,Over 800 complaints on quit-smoking aid reported to Health Canada - CBC.ca,https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3NjaWVuY2Uvb3Zlci04MDAtY29tcGxhaW50cy1vbi1xdWl0LXNtb2tpbmctYWlkLXJlcG9ydGVkLXRvLWhlYWx0aC1jYW5hZGEtMS44MjA5MjfSAR9odHRwczovL3d3dy5jYmMuY2EvYW1wLzEuODIwOTI3?oc=5,2009-02-04 08:00:00,CBC.ca
34,"Kidney cancer patients should get Sutent on the NHS, says NICE - The Telegraph",https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay9uZXdzL2hlYWx0aC9uZXdzLzQ0NDk2MDUvS2lkbmV5LWNhbmNlci1wYXRpZW50cy1zaG91bGQtZ2V0LVN1dGVudC1vbi10aGUtTkhTLXNheXMtTklDRS5odG1s0gEA?oc=5,2009-02-04 08:00:00,The Telegraph
38,Amelia Sadowsky and Kevin Murphy - The New York Times,https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDIvMDgvZmFzaGlvbi93ZWRkaW5ncy8wOFNhZG93c2t5LS5odG1s0gEA?oc=5,2009-02-06 08:00:00,The New York Times
47,"Claim: LeCarre's ""The Constant Gardener"" Was Based on Pfizer Trovan Case - CBS News",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvY2xhaW0tbGVjYXJyZXMtdGhlLWNvbnN0YW50LWdhcmRlbmVyLXdhcy1iYXNlZC1vbi1wZml6ZXItdHJvdmFuLWNhc2Uv0gEA?oc=5,2009-02-17 08:00:00,CBS News
48,2009: Virtual labs become a reality | News and features - University of Bristol,https://news.google.com/rss/articles/CBMiLWh0dHBzOi8vd3d3LmJyaXN0b2wuYWMudWsvbmV3cy8yMDA5LzYxNTQuaHRtbNIBAA?oc=5,2009-02-17 08:00:00,University of Bristol
54,Stamatakou to lead OgilvyHealth in Asia-Pacific | Advertising - Campaign Asia,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNhbXBhaWduYXNpYS5jb20vYXJ0aWNsZS9zdGFtYXRha291LXRvLWxlYWQtb2dpbHZ5aGVhbHRoLWluLWFzaWEtcGFjaWZpYy8yMDg5NDnSAQA?oc=5,2009-02-19 08:00:00,Campaign Asia
59,Indians happiest with sex lives: Survey - The Indian Express,https://news.google.com/rss/articles/CBMiUGh0dHA6Ly93d3cuaW5kaWFuZXhwcmVzcy5jb20vbmV3cy9pbmRpYW5zLWhhcHBpZXN0LXdpdGgtc2V4LWxpdmVzLXN1cnZleS80MjgzNDkv0gFhaHR0cHM6Ly9pbmRpYW5leHByZXNzLmNvbS9hcnRpY2xlL2luZGlhL2luZGlhLW90aGVycy9pbmRpYW5zLWhhcHBpZXN0LXdpdGgtc2V4LWxpdmVzLXN1cnZleS9saXRlLw?oc=5,2009-02-26 08:00:00,The Indian Express
60,Attack of the Monster Merger - Pharmaceutical Executive,https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd3d3LnBoYXJtZXhlYy5jb20vdmlldy9hdHRhY2stbW9uc3Rlci1tZXJnZXLSAQA?oc=5,2009-02-28 08:00:00,Pharmaceutical Executive
62,Harvard Medical School in Ethics Quandary - The New York Times,https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMDkvMDMvMDMvYnVzaW5lc3MvMDNtZWRzY2hvb2wuaHRtbNIBAA?oc=5,2009-03-02 08:00:00,The New York Times
66,Rottinghaus runs for ANA board - Numismatic News,https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3Lm51bWlzbWF0aWNuZXdzLm5ldC9hcmNoaXZlL3JvdHRpbmdoYXVzLXJ1bnMtZm9yLWFuYS1ib2FyZNIBAA?oc=5,2009-03-09 07:00:00,Numismatic News
77,The Profit Pill - Forbes,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vZm9yYmVzLzIwMDkvMDQxMy8wOTgtZ2lsZWFkLXBoYXJtYS1wcm9maXQtcGlsbC5odG1s0gEA?oc=5,2009-03-26 07:00:00,Forbes
81,Attack Of The Zombie Biotechs - Forbes,https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LmZvcmJlcy5jb20vMjAwOS8wNC8wMi9iaW90ZWNobm9sb2d5LXN1dGVudC10YXhlcy1idXNpbmVzcy1oZWFsdGhjYXJlLWJyb3phay5odG1s0gEA?oc=5,2009-04-02 07:00:00,Forbes
91,Construction Manager - uri.edu,https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vd2ViLnVyaS5lZHUvcXVhZGFuZ2xlcy9jb25zdHJ1Y3Rpb24tbWFuYWdlci_SAQA?oc=5,2009-04-10 07:00:00,uri.edu
93,Best of Kristen Wiig on SNL - NBC Insider,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3Lm5iYy5jb20vcGxheWxpc3QvYmVzdC1vZi1rcmlzdGVuLXdpaWctb24tc25sLXBsYXlsaXN00gEA?oc=5,2009-04-11 07:00:00,NBC Insider
97,ASA clears 'fake drugs' warning ad showing man regurgitating rat - The Guardian,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9tZWRpYS8yMDA5L2Fwci8yMi9hc2EtcGZpemVyLWZha2UtZHJ1Z3MtcmF0LWFk0gFKaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL21lZGlhLzIwMDkvYXByLzIyL2FzYS1wZml6ZXItZmFrZS1kcnVncy1yYXQtYWQ?oc=5,2009-04-22 07:00:00,The Guardian
98,BBC NEWS | UK | Rat advert complaints dismissed - CBBC Newsround,https://news.google.com/rss/articles/CBMiLmh0dHA6Ly9uZXdzLmJiYy5jby51ay8yL2hpL3VrX25ld3MvODAxMDk3OC5zdG3SAQA?oc=5,2009-04-22 07:00:00,CBBC Newsround
101,"Epstein Becker Green Women's Initiative Presents ""Why Women Don't Ask"" - Epstein Becker Green",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LmViZ2xhdy5jb20vaW5zaWdodHMvZXZlbnRzL2Vwc3RlaW4tYmVja2VyLWdyZWVuLXdvbWVucy1pbml0aWF0aXZlLXByZXNlbnRzLXdoeS13b21lbi1kb250LWFza9IBAA?oc=5,2009-04-30 07:00:00,Epstein Becker Green
103,"Pink slips, but cos still spend more on salary - The Economic Times",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vbS5lY29ub21pY3RpbWVzLmNvbS9qb2JzL3Bpbmstc2xpcHMtYnV0LWNvcy1zdGlsbC1zcGVuZC1tb3JlLW9uLXNhbGFyeS9hcnRpY2xlc2hvdy80NTA0MzIwLmNtc9IBAA?oc=5,2009-05-10 07:00:00,The Economic Times
